confuctivity	time	label_number	width	height	number of pixels	mean_intensity	w_h_ratio
78.0	417	3	20	108	998	20126	5.4
78.0	417	6	20	93	808	16404	4.65
78.0	417	8	1	2	347	7521	2.0
78.0	418	1	54	2	2568	103264	0.037037037037037035
78.0	418	7	36	5	1510	42433	0.1388888888888889
78.0	418	8	31	4	1022	23688	0.12903225806451613
78.0	418	15	20	1	558	12185	0.05
78.0	418	32	25	6	247	5321	0.24
78.0	418	37	1	1	756	16732	1.0
78.0	419	1	83	1	4618	139424	0.012048192771084338
78.0	419	8	40	1	1270	29525	0.025
78.0	419	15	3	1	2402	67691	0.3333333333333333
78.0	419	17	28	1	1322	34619	0.03571428571428571
78.0	419	18	43	3	1713	52561	0.06976744186046512
78.0	419	38	29	105	799	20747	3.6206896551724137
78.0	421	1	83	4	3777	137423	0.04819277108433735
78.0	421	6	43	2	2151	76731	0.046511627906976744
78.0	421	15	56	128	1118	25517	2.2857142857142856
78.0	422	3	89	1	7391	275113	0.011235955056179775
78.0	422	18	35	43	879	16155	1.2285714285714286
78.0	422	19	2	158	1386	47379	79.0
78.0	422	39	2	2	1458	38035	1.0
78.0	423	1	42	5	2326	53487	0.11904761904761904
78.0	423	8	57	190	2799	93898	3.3333333333333335
78.0	423	19	2	3	1338	33420	1.5
78.0	423	30	41	111	1480	32039	2.707317073170732
78.0	424	1	49	1	3121	91463	0.02040816326530612
78.0	424	3	51	197	2595	84964	3.8627450980392157
78.0	424	5	44	1	2440	97140	0.022727272727272728
78.0	425	1	83	2	5510	171639	0.024096385542168676
78.0	425	16	13	2	200	2977	0.15384615384615385
78.0	425	17	45	155	1241	28744	3.4444444444444446
78.0	425	20	27	34	548	8664	1.2592592592592593
78.0	426	2	75	212	3796	116021	2.8266666666666667
78.0	426	3	49	225	2523	112718	4.591836734693878
78.0	426	5	36	3	261	4829	0.08333333333333333
78.0	426	11	63	138	1898	48382	2.1904761904761907
78.0	426	22	23	4	857	17694	0.17391304347826086
78.0	426	56	14	15	228	4644	1.0714285714285714
78.0	427	4	135	224	6533	241291	1.6592592592592592
78.0	427	6	2	225	2882	114201	112.5
78.0	427	23	32	135	1409	48153	4.21875
78.0	428	1	80	1	3678	108625	0.0125
78.0	428	8	45	10	2585	47396	0.2222222222222222
78.0	429	1	31	201	3017	70476	6.483870967741935
78.0	429	3	6	2	321	4359	0.3333333333333333
78.0	429	4	23	45	325	5174	1.9565217391304348
78.0	430	1	13	12	292	3750	0.9230769230769231
78.0	432	1	1	8	502	6799	8.0
78.0	433	1	92	3	5879	209383	0.03260869565217391
