confuctivity	time	label_number	width	height	number of pixels	mean_intensity	w_h_ratio
1.0	87	16	52	8	1024	15293	0.15384615384615385
1.0	87	44	33	42	382	5515	1.2727272727272727
1.0	88	2	11	3	328	5847	0.2727272727272727
1.0	88	4	30	2	1334	20981	0.06666666666666667
1.0	88	6	27	52	602	10528	1.9259259259259258
1.0	88	8	2	4	421	5307	2.0
1.0	89	1	3	4	436	4910	1.3333333333333333
1.0	89	8	55	93	2084	37944	1.690909090909091
1.0	90	1	29	4	962	15325	0.13793103448275862
1.0	90	8	18	3	704	12027	0.16666666666666666
1.0	90	12	19	1	865	14026	0.05263157894736842
1.0	91	1	48	3	1716	24375	0.0625
1.0	91	28	2	2	667	8351	1.0
1.0	92	1	8	3	417	5462	0.375
1.0	92	4	27	3	647	9089	0.1111111111111111
1.0	92	7	22	1	513	7724	0.045454545454545456
1.0	93	1	4	3	291	3677	0.75
1.0	93	3	2	1	236	2688	0.5
1.0	93	6	61	3	3681	53189	0.04918032786885246
1.0	93	21	17	4	217	2925	0.23529411764705882
1.0	93	60	18	2	220	3122	0.1111111111111111
1.0	94	1	29	3	668	10412	0.10344827586206896
1.0	94	3	43	2	3233	80882	0.046511627906976744
1.0	94	13	27	2	500	7766	0.07407407407407407
1.0	94	49	4	4	382	6518	1.0
1.0	96	5	26	18	1586	23242	0.6923076923076923
1.0	96	17	20	4	302	4478	0.2
1.0	96	25	18	1	268	5296	0.05555555555555555
1.0	97	1	1	2	2456	45032	2.0
1.0	97	3	9	2	205	2836	0.2222222222222222
1.0	97	52	20	2	256	2991	0.1
1.0	98	2	24	2	771	9285	0.08333333333333333
1.0	98	11	18	4	250	3565	0.2222222222222222
1.0	99	2	27	4	300	3778	0.14814814814814814
1.0	101	4	22	5	535	7256	0.22727272727272727
1.0	102	2	16	3	359	4384	0.1875
1.0	104	1	24	1	523	4946	0.041666666666666664
1.0	126	1	124	145	5277	110606	1.1693548387096775
1.0	126	3	38	1	1044	20541	0.02631578947368421
1.0	126	5	37	2	877	15813	0.05405405405405406
1.0	126	9	21	1	884	16454	0.047619047619047616
1.0	127	1	23	3	2105	40557	0.13043478260869565
1.0	127	2	145	169	6393	137891	1.1655172413793105
1.0	127	3	58	3	2020	38289	0.05172413793103448
1.0	127	8	36	2	661	11015	0.05555555555555555
1.0	129	1	75	3	3040	68813	0.04
1.0	130	1	1	7	1251	25056	7.0
1.0	130	7	24	5	2088	35840	0.20833333333333334
1.0	130	10	4	3	310	4471	0.75
1.0	131	1	15	3	2654	49119	0.2
1.0	131	11	51	6	1211	17882	0.11764705882352941
1.0	131	32	19	55	732	8358	2.8947368421052633
1.0	132	1	65	175	2906	74191	2.6923076923076925
1.0	132	7	49	189	3611	87920	3.857142857142857
